title,property_size,house_type,bedrooms,bathrooms,furnishing,region,region_name,region_parent_name,is_boost,price
"3bdrm Duplex in Galilee Estate, Port-Harcourt for sale",465.0,Duplex,3.0,3.0,unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,enterprise,"₦ 175,000,000"
1bdrm Condo in Wuye for sale,60.0,Condo,1.0,2.0,unfurnished,"Abuja (FCT), Wuye",Wuye,Abuja (FCT),diamond,"₦ 113,000,000"
4bdrm Duplex in Opebi for sale,250.0,Duplex,4.0,4.0,semi-furnished,"Ikeja, Opebi",Opebi,Ikeja,enterprise,"₦ 550,000,000"
Furnished 4bdrm Duplex in Lekki Phase 2 for sale,450.0,Duplex,4.0,4.0,furnished,"Lekki, Lekki Phase 2",Lekki Phase 2,Lekki,enterprise,"₦ 190,000,000"
2bdrm Block of Flats in Katampe (Main) for sale,250.0,Block of Flats,2.0,2.0,unfurnished,"Katampe, Katampe (Main)",Katampe (Main),Katampe,diamond,"₦ 85,000,000"
4bdrm Duplex in Gbagada Phase 2 for sale,255.0,Duplex,4.0,4.0,semi-furnished,"Gbagada, Phase 2",Phase 2,Gbagada,enterprise,"₦ 450,000,000"
"4bdrm Duplex in River Valley Estate, Berger for sale",230.0,Duplex,4.0,4.0,semi-furnished,"Ojodu, Berger",Berger,Ojodu,enterprise,"₦ 245,000,000"
4bdrm Duplex in Opebi for sale,220.0,Duplex,4.0,4.0,semi-furnished,"Ikeja, Opebi",Opebi,Ikeja,enterprise,"₦ 500,000,000"
2bdrm Apartment in Victoria Island Extension for sale,25.0,Apartment,2.0,3.0,semi-furnished,"Victoria Island, Victoria Island Extension",Victoria Island Extension,Victoria Island,enterprise,"₦ 290,000,000"
"Furnished 4bdrm Duplex in Shell Cooperative, Eneka for sale",465.0,Duplex,4.0,4.0,furnished,"Port-Harcourt, Eneka",Eneka,Port-Harcourt,enterprise,"₦ 190,000,000"
2bdrm Block of Flats in Magodo Gra Phase1 for sale,420.0,Block of Flats,2.0,2.0,semi-furnished,"Magodo, GRA Phase 1",GRA Phase 1,Magodo,enterprise,"₦ 350,000,000"
