title,property_size(sqm),house_type,bedrooms,bathrooms,furnishing,region,region_name,region_parent_name,is_boost,price
3bdrm Bungalow in Gwarinpa for sale,700,Bungalow,3,4,Unfurnished,"Abuja (FCT), Gwarinpa",Gwarinpa,Abuja (FCT),Diamond,270000000.0
2bdrm Block of Flats in Durumi for sale,500,Block of Flats,2,3,Unfurnished,"Abuja (FCT), Durumi",Durumi,Abuja (FCT),Diamond,75000000.0
Furnished 10bdrm Block of Flats in Igbogbo Estate for sale,600,Block of Flats,10,10,Furnished,"Ikorodu, Igbogbo",Igbogbo,Lagos Mainland,Diamond,40000000.0
"2bdrm Apartment in Daylight Property, Benin City for sale",560,Apartment,2,2,Unfurnished,"Edo State, Benin City",Benin City,Edo State,Diamond,25000000.0
"3bdrm Duplex in Civic Residence, Abraham Adesanya for sale",250,Duplex,3,3,Unfurnished,"Surulere, Abraham Adesanya",Abraham Adesanya,Lagos Mainland,Enterprise,160000000.0
5bdrm Duplex in Ajah for sale,500,Duplex,5,5,Unfurnished,"Lagos State, Ajah",Ajah,Lagos Island,Enterprise,350000000.0
Furnished 2bdrm Apartment in Ikate for sale,500,Apartment,2,2,Furnished,"Lekki, Ikate",Ikate,Lagos Island,Enterprise,135000000.0
"4bdrm Duplex in Payment Plan, Allen Avenue for sale",1000,Duplex,4,4,Unfurnished,"Ikeja, Allen Avenue",Allen Avenue,Lagos Mainland,Enterprise,425000000.0
5bdrm Duplex in Ajah for sale,350,Duplex,5,5,Unfurnished,"Lagos State, Ajah",Ajah,Lagos Island,Enterprise,145000000.0
1bdrm Apartment in Ajah for sale,500,Apartment,1,1,Unfurnished,"Lagos State, Ajah",Ajah,Lagos Island,Enterprise,40000000.0
5bdrm Duplex in Osapa london for sale,350,Duplex,5,5,Unfurnished,"Lekki, Osapa london",Osapa london,Lagos Island,Enterprise,650000000.0
4bdrm Duplex in Durumi for sale,350,Duplex,4,5,Unfurnished,"Abuja (FCT), Durumi",Durumi,Abuja (FCT),Enterprise,250000000.0
4bdrm Duplex in Ikate for sale,500,Duplex,4,4,Unfurnished,"Lekki, Ikate",Ikate,Lagos Island,Enterprise,300000000.0
4bdrm Duplex in Ajah for sale,350,Duplex,4,4,Unfurnished,"Lagos State, Ajah",Ajah,Lagos Island,Enterprise,140000000.0
5bdrm Duplex in Ikota for sale,350,Duplex,5,5,Unfurnished,"Lekki, Ikota",Ikota,Lagos Island,Enterprise,300000000.0
3bdrm Duplex in Lekki Phase 2 for sale,500,Duplex,3,3,Unfurnished,"Lekki, Lekki Phase 2",Lekki Phase 2,Lagos Island,Enterprise,190000000.0
5bdrm Duplex in Lekki for sale,500,Duplex,5,5,Unfurnished,"Lagos State, Lekki",Lekki,Lagos Island,Enterprise,250000000.0
4bdrm Duplex in Guzape District for sale,1000,Duplex,4,5,Unfurnished,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),Diamond,300000000.0
5bdrm House in Kado for sale,500,Bungalow,5,6,Unfurnished,"Abuja (FCT), Kado",Kado,Abuja (FCT),Diamond,400000000.0
4bdrm Block of Flats in Jabi for sale,1000,Block of Flats,4,4,Unfurnished,"Abuja (FCT), Jabi",Jabi,Abuja (FCT),False,200000000.0
"4bdrm Duplex in Adozillion Court, Omole Phase 2 for sale",250,Duplex,4,4,Unfurnished,"Ikeja, Omole Phase 2",Omole Phase 2,Lagos Mainland,Enterprise,450000000.0
"3bdrm Duplex in Ambiance 2.0, Sangotedo for sale",250,Duplex,3,3,Unfurnished,"Ajah, Sangotedo",Sangotedo,Lagos Island,Enterprise,145000000.0
3bdrm Duplex in Ajah for sale,500,Duplex,3,3,Unfurnished,"Lagos State, Ajah",Ajah,Lagos Island,Enterprise,95000000.0
5bdrm Duplex in Lekki for sale,350,Duplex,5,5,Unfurnished,"Lagos State, Lekki",Lekki,Lagos Island,Enterprise,350000000.0
5bdrm Duplex in Lekki for sale,500,Duplex,5,5,Unfurnished,"Lagos State, Lekki",Lekki,Lagos Island,Enterprise,450000000.0
5bdrm Duplex in VGC / Ajah for sale,650,Duplex,5,5,Unfurnished,"Ajah, VGC / Ajah",VGC / Ajah,Lagos Island,Enterprise,800000000.0
3bdrm Apartment in Lekki Phase 1 for sale,1000,Apartment,3,3,Unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos Island,Enterprise,500000000.0
4bdrm Duplex in Maryland for sale,350,Duplex,4,4,Unfurnished,"Lagos State, Maryland",Maryland,Lagos Mainland,Enterprise,270000000.0
2bdrm Apartment in Victoria Island for sale,500,Apartment,2,2,Unfurnished,"Lagos State, Victoria Island",Victoria Island,Lagos Island,Enterprise,290000000.0
5bdrm Duplex in Ajah for sale,350,Duplex,5,5,Unfurnished,"Lagos State, Ajah",Ajah,Lagos Island,Enterprise,260000000.0
5bdrm Duplex in Ikate for sale,350,Duplex,5,5,Unfurnished,"Lekki, Ikate",Ikate,Lagos Island,Enterprise,550000000.0
5bdrm Duplex in Gudu for sale,1000,Duplex,5,5,Unfurnished,"Abuja (FCT), Gudu",Gudu,Abuja (FCT),Enterprise,165000000.0
4bdrm Duplex in Ajah for sale,500,Duplex,4,4,Unfurnished,"Lagos State, Ajah",Ajah,Lagos Island,Enterprise,180000000.0
5bdrm Duplex in Lekki Phase 2 for sale,500,Duplex,5,5,Unfurnished,"Lekki, Lekki Phase 2",Lekki Phase 2,Lagos Island,Enterprise,530000000.0
2bdrm Apartment in Sangotedo for sale,500,Apartment,2,2,Unfurnished,"Ajah, Sangotedo",Sangotedo,Lagos Island,Enterprise,75000000.0
5bdrm Duplex in Alaka Estate for sale,500,Duplex,5,5,Unfurnished,"Surulere, Alaka Estate",Alaka Estate,Lagos Mainland,Enterprise,450000000.0
5bdrm Duplex in Lekki for sale,350,Duplex,5,5,Unfurnished,"Lagos State, Lekki",Lekki,Lagos Island,Enterprise,350000000.0
"3bdrm Bungalow in Fawole Estate, Igbogbo for sale",600,Bungalow,3,3,Unfurnished,"Ikorodu, Igbogbo",Igbogbo,Lagos Mainland,Diamond,20000000.0
"Furnished 3bdrm Bungalow in Love Estate, Igbogbo for sale",600,Bungalow,3,3,Furnished,"Ikorodu, Igbogbo",Igbogbo,Lagos Mainland,Diamond,25000000.0
